equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
Montpellier Hérault Rugby,3,43 %,43 %,40 %,58 %,46 %,6,1,3,2,11,10,3,10,2,14,167,7,31,30,146,27 ,RC Toulon,2024-01-07 21:05:00
RC Toulon,1,57 %,57 %,60 %,42 %,54 %,10,0,9,1,17,12,0,6,4,7,97,8,19,25,164, 17,Montpellier Hérault Rugby,2024-01-07 21:05:00
Union Bordeaux-Bègles,3,47 %,52 %,43 %,49 %,52 %,6,0,5,1,16,12,1,6,3,10,80,9,8,26,138,26 ,Stade Français Paris,2024-01-27 15:05:00
Stade Français Paris,3,53 %,48 %,57 %,51 %,48 %,7,1,6,0,13,9,2,3,3,13,110,4,26,29,92, 30,Union Bordeaux-Bègles,2024-01-27 15:05:00
Aviron Bayonnais,2,48 %,44 %,48 %,58 %,46 %,10,3,5,2,16,14,4,3,3,10,152,9,19,28,135,21 ,Oyonnax Rugby,2024-01-27 17:00:00
Oyonnax Rugby,2,52 %,56 %,52 %,42 %,54 %,4,0,4,0,17,12,1,6,0,15,114,5,13,30,122, 17,Aviron Bayonnais,2024-01-27 17:00:00
Castres Olympique,3,56 %,58 %,62 %,43 %,60 %,7,1,5,1,15,10,0,3,1,7,89,12,19,36,157,20 ,ASM Clermont,2024-01-27 17:00:00
ASM Clermont,2,44 %,42 %,38 %,57 %,40 %,3,1,2,1,9,9,4,3,3,15,155,9,26,34,105, 23,Castres Olympique,2024-01-27 17:00:00
LOU Rugby,3,39 %,38 %,35 %,62 %,38 %,7,0,6,1,6,5,3,5,5,13,233,9,30,29,107,36 ,USA Perpignan,2024-01-27 17:00:00
USA Perpignan,3,61 %,62 %,65 %,38 %,62 %,5,1,3,1,22,15,0,5,1,9,96,4,24,25,231, 24,LOU Rugby,2024-01-27 17:00:00
Montpellier Hérault Rugby,3,51 %,54 %,78 %,45 %,54 %,5,0,4,1,13,11,0,5,1,6,163,20,16,25,186,22 ,Section Paloise,2024-01-27 17:00:00
Section Paloise,2,49 %,46 %,22 %,55 %,46 %,9,1,5,3,12,11,1,7,1,10,193,5,19,21,166, 17,Montpellier Hérault Rugby,2024-01-27 17:00:00
RC Toulon,1,52 %,46 %,40 %,55 %,47 %,12,2,7,3,11,8,0,5,6,11,75,10,10,24,120,25 ,Stade Rochelais,2024-01-27 21:05:00
Stade Rochelais,2,48 %,54 %,60 %,45 %,53 %,9,1,7,1,9,7,1,3,3,12,91,5,16,22,70, 23,RC Toulon,2024-01-27 21:05:00
Racing 92,2,65 %,33 %,34 %,66 %,33 %,10,0,9,1,14,13,1,2,2,7,135,8,21,23,158,20 ,Stade Toulousain,2024-01-28 21:05:00
Stade Toulousain,4,35 %,67 %,66 %,34 %,67 %,2,0,2,0,16,12,1,5,1,9,150,4,22,20,166, 27,Racing 92,2024-01-28 21:05:00
USA Perpignan,4,39 %,34 %,40 %,65 %,37 %,11,1,9,1,13,6,0,5,0,12,139,6,32,16,90,26 ,Racing 92,2024-02-03 15:00:00
Racing 92,1,61 %,66 %,60 %,35 %,63 %,8,1,6,1,17,17,2,6,0,11,74,8,23,6,151, 5,USA Perpignan,2024-02-03 15:00:00
Oyonnax Rugby,1,59 %,48 %,78 %,53 %,47 %,6,1,4,1,16,11,0,5,4,8,70,3,8,31,67,19 ,Stade Français Paris,2024-02-03 17:00:00
Stade Français Paris,2,41 %,52 %,22 %,47 %,53 %,6,2,4,1,9,9,1,5,3,15,117,7,23,32,83, 23,Oyonnax Rugby,2024-02-03 17:00:00
ASM Clermont,6,49 %,59 %,73 %,41 %,59 %,8,1,4,3,20,18,2,5,0,9,115,10,26,24,131,38 ,LOU Rugby,2024-02-03 17:00:00
LOU Rugby,3,51 %,41 %,27 %,59 %,41 %,7,1,5,1,9,7,1,4,0,11,95,6,32,18,166, 21,ASM Clermont,2024-02-03 17:00:00
Stade Rochelais,2,43 %,41 %,58 %,59 %,47 %,5,1,3,1,19,17,0,7,2,12,187,9,38,25,132,18 ,Montpellier Hérault Rugby,2024-02-03 17:00:00
Montpellier Hérault Rugby,1,57 %,59 %,42 %,41 %,53 %,5,2,2,1,17,15,1,5,1,10,115,3,26,25,199, 10,Stade Rochelais,2024-02-03 17:00:00
Section Paloise,3,51 %,59 %,49 %,39 %,58 %,5,0,4,1,16,14,0,3,4,7,118,10,30,22,167,33 ,Castres Olympique,2024-02-03 17:00:00
Castres Olympique,5,49 %,41 %,51 %,61 %,42 %,5,3,2,0,6,6,1,4,3,15,130,3,18,23,87, 44,Section Paloise,2024-02-03 17:00:00
Stade Toulousain,7,60 %,58 %,65 %,42 %,56 %,9,2,6,1,16,15,0,2,1,10,83,11,17,24,168,46 ,Aviron Bayonnais,2024-02-03 21:05:00
Aviron Bayonnais,4,40 %,42 %,35 %,58 %,44 %,5,0,3,2,13,11,1,7,0,13,159,11,20,24,118, 26,Stade Toulousain,2024-02-03 21:05:00
RC Toulon,4,56 %,56 %,61 %,45 %,54 %,10,1,9,1,17,15,0,5,2,7,99,4,29,28,140,32 ,Union Bordeaux-Bègles,2024-02-04 21:05:00
Union Bordeaux-Bègles,4,44 %,44 %,39 %,55 %,46 %,4,1,3,0,8,7,2,8,3,13,116,6,17,24,121, 37,RC Toulon,2024-02-04 21:05:00
LOU Rugby,3,52 %,57 %,46 %,42 %,56 %,8,1,5,2,12,12,1,4,3,11,130,10,18,24,163,28 ,Stade Rochelais,2024-02-17 15:00:00
Stade Rochelais,2,48 %,43 %,54 %,58 %,44 %,6,1,5,0,12,10,0,4,1,11,143,7,46,22,133, 17,LOU Rugby,2024-02-17 15:00:00
Union Bordeaux-Bègles,1,59 %,61 %,52 %,38 %,57 %,4,0,4,0,20,17,2,7,1,8,129,6,14,17,222,10 ,Section Paloise,2024-02-17 17:00:00
Section Paloise,2,41 %,39 %,48 %,62 %,43 %,7,2,5,0,10,6,1,3,2,16,256,9,39,25,140, 20,Union Bordeaux-Bègles,2024-02-17 17:00:00
Stade Français Paris,4,48 %,44 %,46 %,58 %,46 %,6,2,2,2,18,15,3,3,2,15,144,17,24,23,85,32 ,USA Perpignan,2024-02-17 17:00:00
USA Perpignan,1,52 %,56 %,54 %,42 %,54 %,6,1,4,1,16,8,2,2,4,13,103,4,21,18,128, 19,Stade Français Paris,2024-02-17 17:00:00
Racing 92,2,52 %,57 %,43 %,42 %,55 %,4,0,3,1,14,10,0,5,2,11,132,5,29,16,190,20 ,Montpellier Hérault Rugby,2024-02-17 17:00:00
Montpellier Hérault Rugby,5,48 %,43 %,57 %,58 %,45 %,10,0,7,3,10,8,2,1,3,7,178,18,53,29,115, 44,Racing 92,2024-02-17 17:00:00
Aviron Bayonnais,2,54 %,48 %,61 %,52 %,48 %,7,1,5,1,15,11,3,5,3,11,118,16,7,35,125,21 ,ASM Clermont,2024-02-17 21:05:00
ASM Clermont,1,46 %,52 %,39 %,48 %,52 %,5,0,4,1,17,13,1,8,2,11,149,20,23,26,102, 13,Aviron Bayonnais,2024-02-17 21:05:00
Castres Olympique,3,54 %,53 %,63 %,46 %,53 %,12,0,10,2,8,8,2,5,2,6,111,8,25,29,127,25 ,RC Toulon,2024-02-18 21:05:00
RC Toulon,2,46 %,47 %,37 %,54 %,47 %,8,1,6,1,12,9,0,7,1,9,127,10,24,27,158, 17,Castres Olympique,2024-02-18 21:05:00
Montpellier Hérault Rugby,3,44 %,40 %,32 %,63 %,44 %,8,1,6,1,13,10,1,8,3,8,125,3,18,24,132,28 ,Aviron Bayonnais,2024-02-24 15:00:00
Aviron Bayonnais,2,56 %,60 %,68 %,37 %,56 %,10,1,7,2,14,12,0,2,3,11,114,6,15,28,181, 23,Montpellier Hérault Rugby,2024-02-24 15:00:00
USA Perpignan,3,47 %,44 %,49 %,55 %,45 %,10,2,7,1,13,10,2,6,2,14,135,5,23,18,142,27 ,Stade Rochelais,2024-02-24 17:00:00
Stade Rochelais,0,53 %,56 %,51 %,45 %,55 %,12,1,10,1,9,5,1,7,5,9,131,4,18,18,144, 15,USA Perpignan,2024-02-24 17:00:00
Castres Olympique,6,57 %,57 %,67 %,43 %,55 %,9,0,7,2,16,12,2,11,1,8,90,9,17,30,167,41 ,Union Bordeaux-Bègles,2024-02-24 17:00:00
Union Bordeaux-Bègles,2,43 %,43 %,33 %,57 %,45 %,10,1,9,0,10,8,1,7,0,11,118,1,37,34,103, 12,Castres Olympique,2024-02-24 17:00:00
LOU Rugby,6,54 %,59 %,58 %,41 %,62 %,5,1,3,1,14,13,1,2,1,13,112,10,11,27,134,43 ,Oyonnax Rugby,2024-02-24 17:00:00
Oyonnax Rugby,3,46 %,41 %,42 %,59 %,38 %,6,0,5,1,17,15,1,2,3,14,163,21,38,31,104, 26,LOU Rugby,2024-02-24 17:00:00
Section Paloise,2,54 %,54 %,37 %,46 %,55 %,3,0,2,1,15,15,3,9,1,11,103,23,12,34,109,17 ,RC Toulon,2024-02-24 17:00:00
RC Toulon,0,46 %,46 %,63 %,54 %,45 %,11,3,7,1,13,9,0,2,3,10,124,16,19,41,104, 9,Section Paloise,2024-02-24 17:00:00
Racing 92,1,48 %,54 %,48 %,44 %,54 %,3,0,3,0,23,16,1,6,2,9,103,10,14,18,103,11 ,Stade Français Paris,2024-02-24 21:05:00
Stade Français Paris,3,52 %,46 %,52 %,56 %,46 %,11,3,7,1,13,12,3,2,2,14,127,4,27,32,82, 27,Racing 92,2024-02-24 21:05:00
ASM Clermont,5,62 %,68 %,75 %,31 %,68 %,6,0,4,2,14,8,1,7,0,8,70,6,25,14,185,33 ,Stade Toulousain,2024-02-25 21:05:00
Stade Toulousain,5,38 %,32 %,25 %,69 %,32 %,10,2,6,2,6,5,3,3,2,9,189,2,35,20,98, 37,ASM Clermont,2024-02-25 21:05:00
Stade Toulousain,5,56 %,60 %,52 %,39 %,58 %,7,1,5,1,18,14,1,11,0,14,102,10,15,17,158,33 ,Castres Olympique,2024-03-02 15:00:00
Castres Olympique,0,44 %,40 %,48 %,61 %,42 %,9,1,8,0,11,10,1,6,2,11,124,13,29,17,128, 6,Stade Toulousain,2024-03-02 15:00:00
Aviron Bayonnais,5,55 %,52 %,71 %,48 %,51 %,10,0,9,1,15,14,4,8,2,7,95,6,19,35,85,39 ,LOU Rugby,2024-03-02 17:00:00
LOU Rugby,1,45 %,48 %,29 %,52 %,49 %,9,2,7,0,18,12,0,5,1,15,121,10,27,25,94, 10,Aviron Bayonnais,2024-03-02 17:00:00
Oyonnax Rugby,4,58 %,56 %,69 %,45 %,53 %,6,0,5,1,12,11,0,2,3,14,80,8,16,19,121,35 ,Montpellier Hérault Rugby,2024-03-02 17:00:00
Montpellier Hérault Rugby,5,42 %,44 %,31 %,55 %,47 %,4,0,3,1,12,10,1,3,2,11,174,15,22,20,69, 39,Oyonnax Rugby,2024-03-02 17:00:00
Stade Français Paris,4,46 %,34 %,37 %,67 %,36 %,5,0,5,0,17,14,1,9,1,11,155,16,19,32,75,25 ,Section Paloise,2024-03-02 17:00:00
Section Paloise,0,54 %,66 %,63 %,33 %,64 %,10,0,10,0,11,9,2,3,4,10,87,4,12,35,130, 12,Stade Français Paris,2024-03-02 17:00:00
RC Toulon,5,55 %,48 %,60 %,54 %,48 %,5,0,4,1,12,11,0,3,3,6,115,11,19,25,170,44 ,USA Perpignan,2024-03-02 17:00:00
USA Perpignan,3,45 %,52 %,40 %,46 %,52 %,5,2,3,0,15,11,0,2,1,12,130,14,26,17,131, 22,RC Toulon,2024-03-02 17:00:00
Union Bordeaux-Bègles,2,46 %,44 %,46 %,57 %,44 %,6,2,4,0,14,10,2,5,3,12,148,11,22,28,96,21 ,Racing 92,2024-03-02 21:05:00
Racing 92,1,54 %,56 %,54 %,43 %,56 %,5,0,4,1,18,10,3,4,0,12,131,10,31,27,141, 5,Union Bordeaux-Bègles,2024-03-02 21:05:00
Stade Rochelais,6,56 %,55 %,70 %,45 %,54 %,7,2,4,1,19,16,4,8,0,7,96,4,9,42,165,42 ,ASM Clermont,2024-03-03 21:05:00
ASM Clermont,0,44 %,45 %,30 %,55 %,46 %,7,3,4,0,19,11,3,7,1,7,103,10,18,32,94, 3,Stade Rochelais,2024-03-03 21:05:00
Stade Rochelais,3,57 %,56 %,69 %,45 %,53 %,9,2,6,1,15,13,0,4,2,7,99,4,15,33,128,23 ,Stade Français Paris,2024-03-09 15:00:00
Stade Français Paris,0,43 %,44 %,31 %,55 %,47 %,5,3,2,0,16,14,1,3,1,15,134,5,14,20,77, 3,Stade Rochelais,2024-03-09 15:00:00
ASM Clermont,0,51 %,61 %,75 %,40 %,61 %,16,2,11,3,8,6,1,10,5,11,78,16,14,28,77,15 ,Oyonnax Rugby,2024-03-09 17:00:00
Oyonnax Rugby,0,49 %,39 %,25 %,60 %,39 %,8,1,6,1,11,8,0,5,5,13,99,3,14,31,65, 15,ASM Clermont,2024-03-09 17:00:00
LOU Rugby,4,50 %,57 %,60 %,43 %,56 %,7,1,6,0,20,16,0,4,2,13,128,6,9,23,122,34 ,Castres Olympique,2024-03-09 17:00:00
Castres Olympique,1,50 %,43 %,40 %,57 %,44 %,5,0,5,0,16,15,2,4,4,15,141,6,25,16,108, 19,LOU Rugby,2024-03-09 17:00:00
Montpellier Hérault Rugby,1,57 %,54 %,60 %,46 %,55 %,7,2,4,1,25,18,3,4,1,8,86,15,16,40,96,10 ,Union Bordeaux-Bègles,2024-03-09 17:00:00
Union Bordeaux-Bègles,0,43 %,46 %,40 %,54 %,45 %,6,1,5,0,13,9,1,5,1,14,111,4,20,40,77, 3,Montpellier Hérault Rugby,2024-03-09 17:00:00
Section Paloise,5,51 %,48 %,42 %,52 %,48 %,6,0,4,2,9,7,2,2,3,8,174,18,28,27,177,42 ,Aviron Bayonnais,2024-03-09 17:00:00
Aviron Bayonnais,6,49 %,52 %,58 %,48 %,52 %,5,0,4,1,16,14,0,4,0,8,178,17,26,29,173, 40,Section Paloise,2024-03-09 17:00:00
USA Perpignan,3,46 %,36 %,44 %,68 %,40 %,11,3,7,1,16,13,1,1,2,10,148,13,31,24,123,27 ,Stade Toulousain,2024-03-09 21:05:00
Stade Toulousain,2,54 %,64 %,56 %,32 %,60 %,1,0,1,0,14,13,3,8,1,11,125,6,11,27,153, 17,USA Perpignan,2024-03-09 21:05:00
Racing 92,1,40 %,43 %,29 %,57 %,40 %,10,2,8,0,4,3,3,6,5,11,168,25,22,30,85,20 ,RC Toulon,2024-03-10 21:05:00
RC Toulon,0,60 %,57 %,71 %,43 %,60 %,12,0,10,2,14,8,0,6,2,8,80,4,19,22,196, 6,Racing 92,2024-03-10 21:05:00
RC Toulon,8,46 %,60 %,56 %,35 %,59 %,12,2,7,3,15,12,1,5,0,9,149,11,33,20,162,54 ,Montpellier Hérault Rugby,2024-03-23 15:00:00
Montpellier Hérault Rugby,1,54 %,40 %,44 %,65 %,41 %,8,1,6,1,12,9,1,6,0,14,117,5,18,11,170, 7,RC Toulon,2024-03-23 15:00:00
Oyonnax Rugby,2,44 %,44 %,40 %,56 %,44 %,4,1,3,4,14,10,0,4,0,17,180,12,29,20,111,14 ,USA Perpignan,2024-03-23 17:00:00
USA Perpignan,2,56 %,56 %,60 %,44 %,56 %,11,0,9,2,14,9,2,4,1,5,114,8,14,18,172, 15,Oyonnax Rugby,2024-03-23 17:00:00
Castres Olympique,2,57 %,51 %,52 %,51 %,49 %,12,0,10,2,14,11,1,4,3,13,120,12,23,19,114,21 ,Racing 92,2024-03-23 17:00:00
Racing 92,2,43 %,49 %,48 %,49 %,51 %,8,1,6,1,10,8,2,4,3,15,141,17,20,22,112, 23,Castres Olympique,2024-03-23 17:00:00
ASM Clermont,4,56 %,55 %,49 %,45 %,52 %,6,1,4,1,16,15,2,4,1,7,142,10,17,23,167,31 ,Section Paloise,2024-03-23 17:00:00
Section Paloise,4,44 %,45 %,51 %,55 %,48 %,6,0,5,1,15,13,0,3,0,11,178,12,31,17,168, 28,ASM Clermont,2024-03-23 17:00:00
Stade Français Paris,3,54 %,56 %,80 %,43 %,55 %,6,1,4,1,22,18,0,5,1,7,150,17,34,42,160,22 ,LOU Rugby,2024-03-23 17:00:00
LOU Rugby,1,46 %,44 %,20 %,57 %,45 %,6,0,6,0,12,12,3,8,2,12,145,12,34,34,143, 13,Stade Français Paris,2024-03-23 17:00:00
Aviron Bayonnais,1,45 %,37 %,37 %,64 %,39 %,11,1,8,2,14,13,1,1,2,16,168,15,11,36,113,13 ,Stade Rochelais,2024-03-23 21:05:00
Stade Rochelais,2,55 %,63 %,63 %,36 %,61 %,3,0,3,0,28,22,1,5,0,10,118,1,15,22,167, 12,Aviron Bayonnais,2024-03-23 21:05:00
Union Bordeaux-Bègles,5,40 %,40 %,33 %,60 %,43 %,5,0,5,0,16,11,2,7,0,9,168,7,32,30,138,31 ,Stade Toulousain,2024-03-24 21:05:00
Stade Toulousain,4,60 %,60 %,67 %,40 %,57 %,5,0,5,0,14,11,3,4,0,8,92,4,20,26,207, 28,Union Bordeaux-Bègles,2024-03-24 21:05:00
Montpellier Hérault Rugby,1,44 %,40 %,30 %,59 %,37 %,9,2,7,0,12,8,1,6,1,14,122,14,13,25,98,10 ,Stade Français Paris,2024-03-30 15:00:00
Stade Français Paris,0,56 %,60 %,70 %,41 %,63 %,12,1,8,3,16,15,3,4,3,7,81,3,19,23,117, 12,Montpellier Hérault Rugby,2024-03-30 15:00:00
USA Perpignan,7,55 %,44 %,68 %,58 %,45 %,12,2,7,3,14,14,0,1,0,10,88,4,25,12,146,43 ,Castres Olympique,2024-03-30 17:00:00
Castres Olympique,2,45 %,56 %,32 %,42 %,55 %,4,1,3,0,12,11,0,5,0,14,104,2,32,10,130, 12,USA Perpignan,2024-03-30 17:00:00
Stade Rochelais,6,53 %,46 %,53 %,56 %,46 %,7,3,4,0,15,14,1,5,0,15,103,7,12,19,120,40 ,Oyonnax Rugby,2024-03-30 17:00:00
Oyonnax Rugby,3,47 %,54 %,47 %,44 %,54 %,6,0,6,0,15,14,1,7,0,13,103,6,18,15,95, 21,Stade Rochelais,2024-03-30 17:00:00
LOU Rugby,3,47 %,51 %,50 %,49 %,51 %,6,1,5,0,12,11,2,6,2,13,163,4,21,41,152,27 ,Union Bordeaux-Bègles,2024-03-30 17:00:00
Union Bordeaux-Bègles,1,53 %,49 %,50 %,51 %,49 %,8,1,4,3,18,14,1,7,1,5,155,6,26,32,197, 10,LOU Rugby,2024-03-30 17:00:00
Racing 92,3,39 %,30 %,14 %,72 %,33 %,9,1,6,2,14,9,1,5,3,14,212,8,31,20,111,26 ,ASM Clermont,2024-03-30 17:00:00
ASM Clermont,1,61 %,70 %,86 %,28 %,67 %,6,0,6,0,17,15,0,8,1,13,92,9,19,18,172, 10,Racing 92,2024-03-30 17:00:00
Stade Toulousain,5,56 %,51 %,67 %,50 %,50 %,9,0,5,4,14,13,2,7,0,7,110,7,17,15,191,31 ,Section Paloise,2024-03-30 21:05:00
Section Paloise,4,44 %,49 %,33 %,50 %,50 %,10,2,6,2,15,13,0,2,1,7,150,15,26,19,136, 29,Stade Toulousain,2024-03-30 21:05:00
Aviron Bayonnais,1,48 %,50 %,54 %,48 %,51 %,8,1,7,0,15,10,0,5,1,11,112,3,17,15,110,10 ,RC Toulon,2024-03-31 21:05:00
RC Toulon,4,52 %,50 %,46 %,52 %,49 %,7,0,6,1,12,10,3,5,6,14,134,11,16,25,117, 46,Aviron Bayonnais,2024-03-31 21:05:00
Castres Olympique,3,55 %,60 %,77 %,39 %,58 %,5,0,4,1,17,16,1,5,2,8,101,2,21,19,138,25 ,Stade Rochelais,2024-04-20 15:00:00
Stade Rochelais,3,45 %,40 %,23 %,61 %,42 %,8,2,5,1,11,8,1,7,1,16,122,15,24,21,116, 24,Castres Olympique,2024-04-20 15:00:00
USA Perpignan,7,63 %,56 %,64 %,45 %,54 %,6,1,4,1,12,10,1,4,2,6,91,9,28,16,183,51 ,LOU Rugby,2024-04-20 17:00:00
LOU Rugby,3,37 %,44 %,36 %,55 %,46 %,8,1,7,0,7,6,1,7,1,14,175,19,27,11,119, 20,USA Perpignan,2024-04-20 17:00:00
Oyonnax Rugby,1,50 %,43 %,33 %,57 %,43 %,8,1,6,1,17,11,0,5,2,10,154,10,18,19,135,13 ,Racing 92,2024-04-20 17:00:00
Racing 92,6,50 %,57 %,67 %,43 %,57 %,6,0,6,0,12,10,4,6,1,9,144,9,24,22,150, 43,Oyonnax Rugby,2024-04-20 17:00:00
Stade Français Paris,4,51 %,48 %,49 %,52 %,48 %,4,1,3,0,22,17,3,5,0,6,152,13,34,22,133,28 ,Aviron Bayonnais,2024-04-20 17:00:00
Aviron Bayonnais,3,49 %,52 %,51 %,48 %,52 %,10,0,8,2,10,7,3,2,1,16,100,8,15,25,141, 24,Stade Français Paris,2024-04-20 17:00:00
Section Paloise,3,45 %,46 %,31 %,55 %,46 %,2,1,1,0,9,7,1,2,4,10,135,8,27,26,131,31 ,Montpellier Hérault Rugby,2024-04-20 17:00:00
Montpellier Hérault Rugby,3,55 %,54 %,69 %,45 %,54 %,7,2,3,2,17,16,2,4,2,11,91,5,24,29,140, 23,Section Paloise,2024-04-20 17:00:00
RC Toulon,2,41 %,46 %,60 %,54 %,46 %,4,0,4,0,10,8,0,9,2,10,149,19,23,24,73,20 ,Stade Toulousain,2024-04-20 21:05:00
Stade Toulousain,2,59 %,54 %,40 %,46 %,54 %,10,1,7,2,15,14,1,2,3,8,80,17,14,22,126, 19,RC Toulon,2024-04-20 21:05:00
Union Bordeaux-Bègles,5,53 %,50 %,56 %,51 %,50 %,8,0,8,0,15,11,1,10,2,8,143,15,19,27,144,41 ,ASM Clermont,2024-04-21 21:05:00
ASM Clermont,1,47 %,50 %,44 %,49 %,50 %,12,0,11,1,8,7,1,9,0,10,118,6,25,19,143, 7,Union Bordeaux-Bègles,2024-04-21 21:05:00
Stade Toulousain,4,57 %,51 %,47 %,49 %,50 %,9,1,8,0,10,8,2,9,2,7,120,15,18,17,168,32 ,Racing 92,2024-04-27 15:00:00
Racing 92,2,43 %,49 %,53 %,51 %,50 %,8,1,7,0,12,10,2,7,0,11,162,9,32,24,130, 12,Stade Toulousain,2024-04-27 15:00:00
Aviron Bayonnais,2,60 %,40 %,31 %,57 %,39 %,6,1,5,0,19,15,0,7,1,9,68,2,15,33,135,15 ,Union Bordeaux-Bègles,2024-04-27 17:00:00
Union Bordeaux-Bègles,3,40 %,60 %,69 %,43 %,61 %,10,0,9,1,10,7,4,7,4,11,122,10,22,45,81, 34,Aviron Bayonnais,2024-04-27 17:00:00
Oyonnax Rugby,3,38 %,43 %,32 %,56 %,43 %,6,1,5,0,15,13,1,7,1,10,151,6,29,27,86,22 ,Castres Olympique,2024-04-27 17:00:00
Castres Olympique,2,62 %,57 %,68 %,44 %,57 %,10,2,7,1,12,8,0,3,1,13,85,2,14,23,157, 19,Oyonnax Rugby,2024-04-27 17:00:00
LOU Rugby,6,37 %,34 %,39 %,66 %,38 %,9,1,6,2,9,7,0,5,0,9,226,17,18,21,105,38 ,Section Paloise,2024-04-27 17:00:00
Section Paloise,3,63 %,66 %,61 %,34 %,62 %,5,1,4,0,9,9,2,4,1,6,82,9,30,19,241, 20,LOU Rugby,2024-04-27 17:00:00
Montpellier Hérault Rugby,2,51 %,46 %,41 %,55 %,46 %,6,0,5,1,12,8,3,6,2,15,140,4,25,15,146,20 ,USA Perpignan,2024-04-27 17:00:00
USA Perpignan,3,49 %,54 %,59 %,45 %,54 %,9,2,6,1,21,13,2,5,2,14,137,9,16,14,137, 25,Montpellier Hérault Rugby,2024-04-27 17:00:00
ASM Clermont,6,42 %,44 %,50 %,55 %,47 %,1,0,1,0,14,14,2,5,1,14,155,6,29,29,107,41 ,Stade Français Paris,2024-04-27 21:05:00
Stade Français Paris,2,58 %,56 %,50 %,45 %,53 %,7,1,4,2,17,14,0,1,2,7,94,2,28,27,152, 18,ASM Clermont,2024-04-27 21:05:00
Stade Rochelais,3,59 %,65 %,70 %,34 %,60 %,6,1,4,1,16,16,0,4,2,5,119,12,18,21,192,27 ,RC Toulon,2024-04-28 21:05:00
RC Toulon,2,41 %,35 %,30 %,66 %,40 %,10,2,7,1,5,5,0,2,1,15,238,20,51,32,109, 17,Stade Rochelais,2024-04-28 21:05:00
USA Perpignan,3,54 %,52 %,58 %,49 %,51 %,9,1,7,1,11,7,0,7,3,8,89,8,12,23,148,28 ,ASM Clermont,2024-05-11 15:00:00
ASM Clermont,4,46 %,48 %,42 %,51 %,49 %,5,0,4,1,13,11,3,2,3,12,115,16,25,25,115, 35,USA Perpignan,2024-05-11 15:00:00
Castres Olympique,3,45 %,50 %,42 %,50 %,50 %,8,3,4,1,10,6,3,5,2,13,114,9,31,22,112,27 ,Montpellier Hérault Rugby,2024-05-11 17:00:00
Montpellier Hérault Rugby,3,55 %,50 %,58 %,50 %,50 %,6,2,3,1,14,11,1,9,3,9,121,4,22,24,113, 26,Castres Olympique,2024-05-11 17:00:00
Section Paloise,5,48 %,44 %,42 %,57 %,45 %,11,1,8,2,11,9,3,3,2,12,160,20,26,29,116,39 ,Oyonnax Rugby,2024-05-11 17:00:00
Oyonnax Rugby,2,52 %,56 %,58 %,43 %,55 %,2,0,2,0,20,14,1,9,1,10,119,3,33,21,132, 17,Section Paloise,2024-05-11 17:00:00
Racing 92,4,49 %,46 %,55 %,54 %,47 %,8,0,7,1,18,14,0,9,0,10,91,2,18,13,118,28 ,Aviron Bayonnais,2024-05-11 17:00:00
Aviron Bayonnais,4,51 %,54 %,45 %,46 %,53 %,8,2,6,2,11,9,1,6,3,12,93,4,31,16,116, 37,Racing 92,2024-05-11 17:00:00
RC Toulon,3,50 %,54 %,45 %,46 %,53 %,15,1,11,3,10,8,1,4,3,8,119,16,22,25,115,30 ,LOU Rugby,2024-05-11 17:00:00
LOU Rugby,3,50 %,46 %,55 %,54 %,47 %,7,0,7,0,12,8,2,4,1,11,109,0,16,13,121, 24,RC Toulon,2024-05-11 17:00:00
Union Bordeaux-Bègles,6,47 %,64 %,76 %,34 %,63 %,5,0,5,0,19,18,2,5,0,12,159,20,30,29,181,34 ,Stade Rochelais,2024-05-11 21:05:00
Stade Rochelais,2,53 %,36 %,24 %,66 %,37 %,4,0,3,1,13,10,0,3,0,10,138,9,30,24,190, 14,Union Bordeaux-Bègles,2024-05-11 21:05:00
Stade Toulousain,6,51 %,40 %,50 %,62 %,41 %,6,1,3,2,11,9,2,5,3,9,113,10,12,27,96,49 ,Stade Français Paris,2024-05-12 21:05:00
Stade Français Paris,2,49 %,60 %,50 %,38 %,59 %,8,1,6,1,13,10,1,3,2,12,96,3,16,17,87, 18,Stade Toulousain,2024-05-12 21:05:00
Montpellier Hérault Rugby,3,47 %,47 %,42 %,52 %,48 %,7,2,3,2,13,10,1,3,1,11,180,13,40,23,144,22 ,Stade Toulousain,2024-05-18 15:00:00
Stade Toulousain,4,53 %,53 %,58 %,48 %,52 %,3,1,2,0,18,16,1,3,1,11,136,12,22,24,160, 29,Montpellier Hérault Rugby,2024-05-18 15:00:00
