equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
RC Toulon,4,46 %,46 %,61 %,54 %,47 %,7,1,6,0,12,8,2,5,2,13,126,9,17,24,99, 32,Aviron Bayonnais,2025-09-28 21:05:00
Montpellier Hérault Rugby,4,49 %,52 %,47 %,48 %,51 %,9,1,8,0,12,7,0,3,3,11,121,5,24,25,105,37 ,Stade Rochelais,2025-10-04 14:30:00
Stade Rochelais,1,51 %,48 %,53 %,52 %,49 %,4,2,2,0,15,13,3,11,2,11,106,18,21,18,165, 13,Montpellier Hérault Rugby,2025-10-04 14:30:00
ASM Clermont,12,58 %,58 %,60 %,42 %,54 %,5,1,4,0,13,12,0,1,0,11,100,8,18,23,161,84 ,US Montauban,2025-10-04 16:35:00
US Montauban,4,42 %,42 %,40 %,58 %,46 %,5,1,4,0,17,15,1,2,1,12,156,10,43,15,126, 31,ASM Clermont,2025-10-04 16:35:00
Castres Olympique,2,57 %,61 %,71 %,38 %,62 %,5,1,4,0,13,8,2,13,2,11,100,7,15,29,151,20 ,Racing 92,2025-10-04 16:35:00
Racing 92,1,43 %,39 %,29 %,62 %,38 %,14,4,10,0,17,13,4,5,3,9,175,17,17,32,76, 16,Castres Olympique,2025-10-04 16:35:00
RC Toulon,5,48 %,43 %,40 %,58 %,45 %,12,2,10,0,11,8,3,5,0,11,138,13,24,20,147,33 ,Section Paloise,2025-10-04 16:35:00
Section Paloise,2,52 %,57 %,60 %,42 %,55 %,5,0,5,0,20,17,2,11,1,11,110,9,17,21,135, 17,RC Toulon,2025-10-04 16:35:00
USA Perpignan,1,49 %,39 %,40 %,61 %,40 %,10,2,7,1,14,6,0,10,2,14,101,4,17,18,102,11 ,Stade Français Paris,2025-10-04 16:35:00
Stade Français Paris,4,51 %,61 %,60 %,39 %,60 %,14,1,11,2,12,11,2,11,0,9,94,6,16,23,115, 28,USA Perpignan,2025-10-04 16:35:00
Union Bordeaux-Bègles,5,60 %,70 %,71 %,28 %,65 %,5,0,5,0,16,14,3,6,1,12,94,8,23,28,219,32 ,LOU Rugby,2025-10-04 21:00:00
LOU Rugby,2,40 %,30 %,29 %,72 %,35 %,7,0,6,1,15,10,1,4,2,10,193,21,34,25,120, 20,Union Bordeaux-Bègles,2025-10-04 21:00:00
Aviron Bayonnais,5,47 %,56 %,64 %,43 %,56 %,5,1,3,1,12,9,3,7,3,11,114,5,15,29,124,40 ,Stade Toulousain,2025-10-05 21:05:00
Stade Toulousain,3,53 %,44 %,36 %,57 %,44 %,5,2,3,0,14,7,2,6,3,7,135,9,20,30,122, 26,Aviron Bayonnais,2025-10-05 21:05:00
Section Paloise,6,60 %,50 %,40 %,51 %,49 %,14,3,8,3,16,14,1,4,3,10,89,5,6,25,125,47 ,Aviron Bayonnais,2025-10-11 14:30:00
Aviron Bayonnais,3,40 %,50 %,60 %,49 %,51 %,3,0,3,0,17,13,1,9,1,15,140,3,28,21,106, 24,Section Paloise,2025-10-11 14:30:00
LOU Rugby,5,49 %,51 %,60 %,49 %,51 %,5,1,3,1,11,9,2,10,2,8,163,15,15,26,151,44 ,USA Perpignan,2025-10-11 16:35:00
USA Perpignan,2,51 %,49 %,40 %,51 %,49 %,14,2,9,3,8,5,2,6,3,10,141,8,33,24,150, 19,LOU Rugby,2025-10-11 16:35:00
Racing 92,4,45 %,52 %,54 %,48 %,52 %,5,0,4,1,7,5,1,6,2,11,157,12,13,26,112,32 ,Montpellier Hérault Rugby,2025-10-11 16:35:00
Montpellier Hérault Rugby,3,55 %,48 %,46 %,52 %,48 %,5,1,3,1,15,13,2,3,2,9,150,1,19,23,142, 25,Racing 92,2025-10-11 16:35:00
Stade Français Paris,2,51 %,53 %,35 %,47 %,52 %,8,2,4,2,14,12,2,9,4,14,96,7,11,23,104,26 ,Stade Rochelais,2025-10-11 16:35:00
Stade Rochelais,2,49 %,47 %,65 %,53 %,48 %,7,2,5,0,12,9,1,5,4,13,107,11,12,30,95, 24,Stade Français Paris,2025-10-11 16:35:00
US Montauban,4,38 %,42 %,57 %,57 %,47 %,4,0,4,0,12,8,0,11,0,11,125,9,18,10,55,28 ,Castres Olympique,2025-10-11 16:35:00
Castres Olympique,4,62 %,58 %,43 %,43 %,53 %,15,2,11,2,10,9,3,4,2,12,74,7,12,20,152, 32,US Montauban,2025-10-11 16:35:00
ASM Clermont,3,47 %,58 %,56 %,43 %,59 %,9,0,5,4,14,11,5,11,2,11,108,9,17,22,118,27 ,RC Toulon,2025-10-11 21:00:00
RC Toulon,1,53 %,42 %,44 %,57 %,41 %,12,1,10,1,13,7,2,7,1,15,124,11,22,25,138, 10,ASM Clermont,2025-10-11 21:00:00
Stade Toulousain,8,47 %,55 %,56 %,43 %,55 %,8,0,7,1,14,12,0,7,0,9,150,10,19,18,177,56 ,Union Bordeaux-Bègles,2025-10-12 21:05:00
Union Bordeaux-Bègles,2,53 %,45 %,44 %,57 %,45 %,6,1,4,1,13,9,0,8,1,12,111,4,22,12,171, 13,Stade Toulousain,2025-10-12 21:05:00
Aviron Bayonnais,6,55 %,52 %,47 %,48 %,51 %,9,1,7,1,15,14,0,5,2,12,80,19,8,25,119,44 ,ASM Clermont,2025-10-18 14:30:00
ASM Clermont,2,45 %,48 %,53 %,52 %,49 %,8,2,4,2,19,16,0,6,1,12,126,15,30,20,76, 17,Aviron Bayonnais,2025-10-18 14:30:00
Castres Olympique,4,61 %,49 %,49 %,54 %,47 %,10,0,9,1,11,8,3,5,1,11,87,5,26,26,142,29 ,Stade Français Paris,2025-10-18 16:35:00
