equipo,puntos_trys_concedidos,posesion_pelota,ocupacion_sobre_terreno_rival,posesion_sobre_terreno_propio,posesion_sobre_terreno_rival,posesion_sobre22m_rival,scrum_obtenidos,scrum_perdidos,scrum_ganados,scrum_reiniciados,lineouts_obtenidos,lineouts_ganados,lineouts_ganados_rival,knock_on,penales_anotados,penales_cometidos,tackles_exitoso,tackle_defensivo_exitoso,tackle_fallido,free_kick,balones_pasados,Resultado,Oponente,fecha,temporada,equipo_sede,condicion,resultado_partido,Maison,Ville,Departement,temperatura,lluvia_1h,viento_velocidad,humedad,estacion_calidad
Stade Toulousain,6,0.5,0.48,0.45,0.53,0.48,7,0,6,1,16,13,0,4,2,7,94,1,22,23,116,46 ,ASM Clermont,2022-10-08 21:05:00,2022-2023,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,14.0,0.0,2.4,95.0,MURET-LHERM
ASM Clermont,1,0.5,0.52,0.55,0.47,0.52,6,1,5,0,11,10,3,2,1,13,100,2,29,15,120, 10,Stade Toulousain,2022-10-08 21:05:00,2022-2023,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,14.0,0.0,2.4,95.0,MURET-LHERM
LOU Rugby,3,0.5,0.43,0.4,0.59,0.44,7,1,5,1,13,10,0,2,5,11,100,4,8,25,109,36 ,Union Bordeaux-Bègles,2022-10-09 21:05:00,2022-2023,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,11.7,0.0,0.5,95.0,BRINDAS
Union Bordeaux-Bègles,2,0.5,0.57,0.6,0.41,0.56,3,1,2,0,16,14,3,4,3,13,124,7,18,21,87, 21,LOU Rugby,2022-10-09 21:05:00,2022-2023,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,11.7,0.0,0.5,95.0,BRINDAS
Stade Toulousain,6,0.5,0.56,0.45,0.42,0.56,11,1,8,2,17,8,0,4,0,9,126,6,12,22,119, 45,CA Brive,2022-10-15 15:00:00,2022-2023,CA Brive,Visitante,Ganador,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,24.3,0.0,0.8,53.0,BRIVE
CA Brive,1,0.5,0.44,0.55,0.58,0.44,9,3,5,1,13,12,3,5,0,6,76,6,18,22,131,7 ,Stade Toulousain,2022-10-15 15:00:00,2022-2023,CA Brive,Local,Perdedor,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,24.3,0.0,0.8,53.0,BRIVE
Castres Olympique,2,0.5,0.44,0.41,0.52,0.45,8,1,7,0,5,5,2,6,5,13,72,1,7,20,115,39 ,Aviron Bayonnais,2022-10-15 17:00:00,2022-2023,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,21.0,0.0,3.3,60.0,MONTREDON-LABESSONNIE
Aviron Bayonnais,1,0.5,0.56,0.59,0.48,0.55,11,0,8,3,9,5,0,5,5,11,136,0,14,15,70, 22,Castres Olympique,2022-10-15 17:00:00,2022-2023,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,21.0,0.0,3.3,60.0,MONTREDON-LABESSONNIE
Montpellier Hérault Rugby,2,0.5,0.44,0.18,0.53,0.44,3,0,3,0,17,13,1,4,4,11,122,3,22,31,138,26 ,LOU Rugby,2022-10-15 17:00:00,2022-2023,Montpellier Hérault Rugby,Local,Perdedor,Septeo Stadium,Montpellier,Hérault,20.2,0.0,1.5,75.0,PEZENAS-TOURBES
LOU Rugby,3,0.5,0.56,0.82,0.47,0.56,5,0,5,0,12,8,2,2,4,15,105,7,15,30,106, 33,Montpellier Hérault Rugby,2022-10-15 17:00:00,2022-2023,Montpellier Hérault Rugby,Visitante,Ganador,Septeo Stadium,Montpellier,Hérault,20.2,0.0,1.5,75.0,PEZENAS-TOURBES
Section Paloise,2,0.5,0.38,0.11,0.64,0.42,9,4,3,2,15,13,1,4,5,10,115,4,21,19,60,29 ,Stade Français Paris,2022-10-15 17:00:00,2022-2023,Section Paloise,Local,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,22.6,0.0,1.1,53.0,GER
Stade Français Paris,4,0.5,0.62,0.89,0.36,0.58,6,2,3,1,16,13,1,5,1,15,70,3,9,22,126, 31,Section Paloise,2022-10-15 17:00:00,2022-2023,Section Paloise,Visitante,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,22.6,0.0,1.1,53.0,GER
USA Perpignan,1,0.5,0.45,0.78,0.55,0.45,9,3,5,1,18,11,1,2,1,11,82,4,19,13,99,10 ,ASM Clermont,2022-10-15 17:00:00,2022-2023,USA Perpignan,Local,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,17.2,0.0,0.9,91.0,SERRALONGUE
ASM Clermont,1,0.5,0.55,0.22,0.45,0.55,7,2,4,1,15,13,5,3,5,11,131,8,20,22,111, 20,USA Perpignan,2022-10-15 17:00:00,2022-2023,USA Perpignan,Visitante,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,17.2,0.0,0.9,91.0,SERRALONGUE
Union Bordeaux-Bègles,2,0.5,0.65,0.5,0.37,0.71,11,1,9,1,11,9,1,4,5,12,85,2,13,20,106,29 ,Racing 92,2022-10-15 21:05:00,2022-2023,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,17.9,0.0,1.2,86.0,ST SULPICE DE POMMIERS
Racing 92,1,0.5,0.35,0.5,0.63,0.29,8,0,7,1,16,9,0,5,4,12,108,1,21,18,113, 17,Union Bordeaux-Bègles,2022-10-15 21:05:00,2022-2023,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,17.9,0.0,1.2,86.0,ST SULPICE DE POMMIERS
RC Toulon,1,0.5,0.58,0.8,0.42,0.58,6,0,5,1,13,11,2,5,0,15,116,3,14,20,60, 5,Stade Rochelais,2022-10-16 21:05:00,2022-2023,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,21.4,0.0,5.2,71.0,NUAILLE SUR BOUTONNE
Stade Rochelais,4,0.5,0.42,0.2,0.58,0.42,10,3,6,1,20,15,1,3,2,13,76,2,16,26,91,32 ,RC Toulon,2022-10-16 21:05:00,2022-2023,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,21.4,0.0,5.2,71.0,NUAILLE SUR BOUTONNE
Racing 92,4,0.5,0.49,0.91,0.5,0.5,3,0,3,0,16,15,1,5,4,11,113,2,13,28,104,38 ,Montpellier Hérault Rugby,2022-10-22 15:00:00,2022-2023,Racing 92,Local,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,21.7,0.0,2.9,57.0,LONGCHAMP (Proxy via Stade Français)
Montpellier Hérault Rugby,4,0.5,0.51,0.09,0.5,0.5,8,2,5,1,21,15,0,2,1,12,93,2,14,24,103, 31,Racing 92,2022-10-22 15:00:00,2022-2023,Racing 92,Visitante,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,21.7,0.0,2.9,57.0,LONGCHAMP (Proxy via Stade Français)
Section Paloise,3,0.5,0.51,0.52,0.48,0.52,6,0,4,2,14,14,1,3,2,10,113,4,27,20,115, 27,LOU Rugby,2022-10-22 17:00:00,2022-2023,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,19.1,0.0,2.3,76.0,BRINDAS
Stade Français Paris,3,0.5,0.52,0.67,0.51,0.5,10,0,9,1,16,13,2,6,2,11,65,5,8,25,138,27 ,CA Brive,2022-10-22 17:00:00,2022-2023,Stade Français Paris,Local,Ganador,Stade Jean-Bouin,Paris,Paris,17.9,0.0,1.0,71.0,LONGCHAMP
CA Brive,0,0.5,0.48,0.33,0.49,0.5,11,2,6,3,10,6,3,6,0,16,138,3,26,23,66, 0,Stade Français Paris,2022-10-22 17:00:00,2022-2023,Stade Français Paris,Visitante,Perdedor,Stade Jean-Bouin,Paris,Paris,17.9,0.0,1.0,71.0,LONGCHAMP
Castres Olympique,2,0.5,0.51,0.47,0.49,0.51,6,4,2,0,10,8,0,3,2,15,76,4,19,26,60, 20,RC Toulon,2022-10-22 17:00:00,2022-2023,RC Toulon,Visitante,Perdedor,Stade Mayol,Toulon,Var,18.9,0.0,1.1,90.0,LE CASTELLET-AERO
LOU Rugby,4,0.5,0.49,0.48,0.52,0.48,5,0,4,1,14,10,0,4,1,6,113,3,16,25,146,31 ,Section Paloise,2022-10-22 17:00:00,2022-2023,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,19.1,0.0,2.3,76.0,BRINDAS
Aviron Bayonnais,2,0.5,0.57,0.65,0.44,0.56,5,1,4,0,16,14,1,3,4,12,137,6,21,24,156,24 ,USA Perpignan,2022-10-22 17:00:00,2022-2023,Aviron Bayonnais,Local,Ganador,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,18.9,0.0,1.1,63.0,GER
RC Toulon,3,0.5,0.49,0.53,0.51,0.49,8,1,7,0,14,12,0,4,3,9,71,3,12,26,91,28 ,Castres Olympique,2022-10-22 17:00:00,2022-2023,RC Toulon,Local,Ganador,Stade Mayol,Toulon,Var,18.9,0.0,1.1,90.0,LE CASTELLET-AERO
USA Perpignan,2,0.5,0.43,0.35,0.56,0.44,8,3,5,0,16,15,1,2,2,11,144,7,39,22,120, 20,Aviron Bayonnais,2022-10-22 17:00:00,2022-2023,Aviron Bayonnais,Visitante,Perdedor,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,18.9,0.0,1.1,63.0,GER
ASM Clermont,2,0.5,0.51,0.58,0.48,0.51,8,1,7,0,14,11,0,2,3,10,97,4,24,33,150,23 ,Union Bordeaux-Bègles,2022-10-22 21:05:00,2022-2023,ASM Clermont,Local,Empate,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,11.1,0.0,2.9,82.0,SUPERBESSE
Union Bordeaux-Bègles,2,0.5,0.49,0.42,0.52,0.49,6,1,5,0,16,14,2,3,3,7,102,2,22,30,109, 23,ASM Clermont,2022-10-22 21:05:00,2022-2023,ASM Clermont,Visitante,Empate,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,11.1,0.0,2.9,82.0,SUPERBESSE
Stade Toulousain,1,0.5,0.52,0.4,0.53,0.53,8,1,7,0,6,5,3,3,7,10,135,5,22,25,77,26 ,Stade Rochelais,2022-10-23 21:05:00,2022-2023,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,15.6,0.0,0.6,73.0,MURET-LHERM
Stade Rochelais,2,0.5,0.48,0.6,0.47,0.47,6,0,6,0,18,14,1,4,1,12,81,3,13,17,117, 17,Stade Toulousain,2022-10-23 21:05:00,2022-2023,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,15.6,0.0,0.6,73.0,MURET-LHERM
Castres Olympique,2,0.5,0.46,0.36,0.59,0.47,10,1,7,2,8,7,1,5,4,14,141,8,22,25,82,26 ,ASM Clermont,2022-10-29 15:00:00,2022-2023,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,22.0,0.0,5.8,33.0,MONTREDON-LABESSONNIE
ASM Clermont,2,0.5,0.54,0.64,0.41,0.53,11,2,9,0,13,10,0,5,1,9,79,1,15,18,143, 22,Castres Olympique,2022-10-29 15:00:00,2022-2023,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,22.0,0.0,5.8,33.0,MONTREDON-LABESSONNIE
Section Paloise,4,0.5,0.31,0.29,0.72,0.36,10,2,6,2,15,13,1,1,4,9,135,13,19,32,57, 38,Stade Rochelais,2022-10-29 17:00:00,2022-2023,Stade Rochelais,Visitante,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,18.9,0.0,0.5,68.0,NUAILLE SUR BOUTONNE
LOU Rugby,3,0.5,0.72,0.64,0.29,0.7,5,0,4,1,14,10,1,1,0,7,147,5,25,25,174, 21,USA Perpignan,2022-10-29 17:00:00,2022-2023,USA Perpignan,Visitante,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,16.7,0.0,0.0,64.0,SERRALONGUE
USA Perpignan,3,0.5,0.28,0.36,0.71,0.3,6,0,6,0,10,7,0,4,3,4,133,1,29,24,139,28 ,LOU Rugby,2022-10-29 17:00:00,2022-2023,USA Perpignan,Local,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,16.7,0.0,0.0,64.0,SERRALONGUE
Montpellier Hérault Rugby,2,0.5,0.56,0.84,0.42,0.55,6,1,5,0,18,8,1,0,3,15,98,5,9,27,99,23 ,Stade Français Paris,2022-10-29 17:00:00,2022-2023,Montpellier Hérault Rugby,Local,Ganador,Septeo Stadium,Montpellier,Hérault,18.4,0.0,1.5,79.0,PEZENAS-TOURBES
Stade Français Paris,1,0.5,0.44,0.16,0.58,0.45,3,2,1,0,13,12,6,2,4,11,133,4,26,29,86, 19,Montpellier Hérault Rugby,2022-10-29 17:00:00,2022-2023,Montpellier Hérault Rugby,Visitante,Perdedor,Septeo Stadium,Montpellier,Hérault,18.4,0.0,1.5,79.0,PEZENAS-TOURBES
CA Brive,5,0.5,0.41,0.18,0.58,0.42,6,2,4,0,16,12,3,1,1,13,108,12,27,20,123,38 ,Racing 92,2022-10-29 17:00:00,2022-2023,CA Brive,Local,Perdedor,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,23.2,0.0,1.1,40.0,BRIVE
Stade Rochelais,3,0.5,0.69,0.71,0.28,0.64,6,1,5,0,15,13,1,6,0,10,50,7,8,19,153,21 ,Section Paloise,2022-10-29 17:00:00,2022-2023,Stade Rochelais,Local,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,18.9,0.0,0.5,68.0,NUAILLE SUR BOUTONNE
Racing 92,4,0.5,0.59,0.82,0.42,0.58,1,0,1,0,13,6,3,3,5,12,83,5,23,21,135, 43,CA Brive,2022-10-29 17:00:00,2022-2023,CA Brive,Visitante,Ganador,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,23.2,0.0,1.1,40.0,BRIVE
Aviron Bayonnais,2,0.5,0.41,0.21,0.63,0.46,8,1,7,0,17,14,6,1,4,15,150,7,26,31,119,26 ,Stade Toulousain,2022-10-29 21:05:00,2022-2023,Aviron Bayonnais,Local,Ganador,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,12.8,0.0,1.7,89.0,GER
Stade Toulousain,3,0.5,0.59,0.79,0.37,0.54,7,0,7,0,15,9,1,6,1,11,100,8,11,20,114, 22,Aviron Bayonnais,2022-10-29 21:05:00,2022-2023,Aviron Bayonnais,Visitante,Perdedor,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,12.8,0.0,1.7,89.0,GER
Union Bordeaux-Bègles,3,0.5,0.49,0.08,0.53,0.48,7,1,5,1,14,12,4,1,2,11,57,1,9,27,118,27 ,RC Toulon,2022-10-30 21:05:00,2022-2023,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,16.5,0.0,2.0,84.0,ST SULPICE DE POMMIERS
RC Toulon,2,0.5,0.51,0.92,0.47,0.52,5,0,5,0,21,15,1,3,4,5,123,6,20,29,46, 26,Union Bordeaux-Bègles,2022-10-30 21:05:00,2022-2023,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,16.5,0.0,2.0,84.0,ST SULPICE DE POMMIERS
LOU Rugby,2,0.5,0.35,0.48,0.69,0.36,8,0,7,1,16,16,1,4,4,9,106,13,8,35,150,26 ,Castres Olympique,2022-11-05 17:00:00,2022-2023,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,7.7,0.0,2.0,78.0,BRINDAS
Castres Olympique,2,0.5,0.65,0.52,0.31,0.64,7,0,6,1,10,8,0,5,2,12,137,3,16,30,103, 20,LOU Rugby,2022-11-05 17:00:00,2022-2023,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,7.7,0.0,2.0,78.0,BRINDAS
Union Bordeaux-Bègles,1,0.5,0.44,0.51,0.56,0.45,10,1,9,0,9,8,5,5,0,11,77,11,13,26,161, 7,Section Paloise,2022-11-06 15:15:00,2022-2023,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,17.4,0.0,3.5,54.0,GER
Section Paloise,5,0.5,0.56,0.49,0.44,0.55,8,1,6,1,19,10,0,2,0,5,126,3,28,33,81,33 ,Union Bordeaux-Bègles,2022-11-06 15:15:00,2022-2023,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,17.4,0.0,3.5,54.0,GER
RC Toulon,1,0.5,0.59,0.43,0.42,0.59,5,1,4,0,12,7,0,4,3,8,143,4,14,28,109,16 ,Montpellier Hérault Rugby,2022-11-06 21:05:00,2022-2023,RC Toulon,Local,Perdedor,Stade Mayol,Toulon,Var,9.6,0.0,1.3,95.0,LE CASTELLET-AERO
Montpellier Hérault Rugby,2,0.5,0.41,0.57,0.58,0.41,9,0,8,1,13,10,4,2,4,9,126,8,15,34,80, 26,RC Toulon,2022-11-06 21:05:00,2022-2023,RC Toulon,Visitante,Ganador,Stade Mayol,Toulon,Var,9.6,0.0,1.3,95.0,LE CASTELLET-AERO
Stade Français Paris,3,0.5,0.51,0.53,0.47,0.55,7,1,5,1,10,10,1,5,2,8,92,3,20,34,139,27 ,Montpellier Hérault Rugby,2023-02-25 15:00:00,2022-2023,Stade Français Paris,Local,Ganador,Stade Jean-Bouin,Paris,Paris,8.0,0.0,5.1,56.0,LONGCHAMP
Montpellier Hérault Rugby,2,0.5,0.49,0.47,0.53,0.45,12,2,8,2,15,12,0,6,1,11,149,10,17,26,84, 17,Stade Français Paris,2023-02-25 15:00:00,2022-2023,Stade Français Paris,Visitante,Perdedor,Stade Jean-Bouin,Paris,Paris,8.0,0.0,5.1,56.0,LONGCHAMP
Aviron Bayonnais,4,0.5,0.5,0.5,0.51,0.5,11,0,8,3,15,11,1,4,2,11,78,0,18,34,139,41 ,Castres Olympique,2023-02-25 17:00:00,2022-2023,Aviron Bayonnais,Local,Ganador,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,6.5,0.0,0.9,70.0,GER
Castres Olympique,1,0.5,0.5,0.5,0.49,0.5,5,1,4,0,17,12,0,4,1,19,103,9,30,21,110, 10,Aviron Bayonnais,2023-02-25 17:00:00,2022-2023,Aviron Bayonnais,Visitante,Perdedor,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,6.5,0.0,0.9,70.0,GER
Union Bordeaux-Bègles,6,0.5,0.57,0.64,0.43,0.59,9,0,6,3,15,12,1,2,1,5,110,7,20,30,187,43 ,USA Perpignan,2023-02-25 17:00:00,2022-2023,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,8.9,0.0,3.4,71.0,ST SULPICE DE POMMIERS
USA Perpignan,1,0.5,0.43,0.36,0.57,0.41,9,1,7,1,8,7,2,4,0,12,140,8,40,24,144, 7,Union Bordeaux-Bègles,2023-02-25 17:00:00,2022-2023,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,8.9,0.0,3.4,71.0,ST SULPICE DE POMMIERS
Racing 92,1,0.5,0.62,0.67,0.36,0.59,6,1,3,2,12,10,1,3,2,14,96,10,26,22,132, 11,LOU Rugby,2023-02-25 17:00:00,2022-2023,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,6.0,0.0,3.9,66.0,BRINDAS
Stade Rochelais,4,0.5,0.67,0.85,0.35,0.71,9,1,7,1,14,8,1,3,2,12,70,4,12,30,143,32 ,CA Brive,2023-02-25 17:00:00,2022-2023,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,7.4,0.0,5.2,73.0,NUAILLE SUR BOUTONNE
CA Brive,1,0.5,0.33,0.15,0.65,0.29,6,0,4,2,14,13,2,2,3,10,158,2,28,33,80, 16,Stade Rochelais,2023-02-25 17:00:00,2022-2023,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,7.4,0.0,5.2,73.0,NUAILLE SUR BOUTONNE
LOU Rugby,5,0.5,0.38,0.33,0.64,0.41,5,0,5,0,12,8,1,4,4,7,132,10,20,30,109,45 ,Racing 92,2023-02-25 17:00:00,2022-2023,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,6.0,0.0,3.9,66.0,BRINDAS
Stade Toulousain,4,0.5,0.49,0.51,0.54,0.48,6,1,5,0,14,12,2,4,2,12,103,4,12,21,239,34 ,Section Paloise,2023-02-25 21:05:00,2022-2023,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,6.9,0.0,3.2,77.0,MURET-LHERM
Section Paloise,1,0.5,0.51,0.49,0.46,0.52,8,2,5,1,16,9,0,3,1,14,185,6,32,17,100, 10,Stade Toulousain,2023-02-25 21:05:00,2022-2023,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,6.9,0.0,3.2,77.0,MURET-LHERM
RC Toulon,3,0.5,0.54,0.55,0.45,0.53,9,1,7,1,10,7,1,2,0,15,105,3,24,12,105, 21,ASM Clermont,2023-02-26 21:05:00,2022-2023,ASM Clermont,Visitante,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,-8.4,0.0,7.9,92.0,SUPERBESSE
ASM Clermont,5,0.5,0.46,0.45,0.55,0.47,6,1,5,0,18,14,2,4,0,10,110,11,24,11,95,36 ,RC Toulon,2023-02-26 21:05:00,2022-2023,ASM Clermont,Local,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,-8.4,0.0,7.9,92.0,SUPERBESSE
Montpellier Hérault Rugby,5,0.5,0.57,0.68,0.42,0.57,4,0,4,0,21,19,1,2,1,11,164,9,24,27,150,34 ,ASM Clermont,2023-03-04 15:00:00,2022-2023,Montpellier Hérault Rugby,Local,Ganador,Septeo Stadium,Montpellier,Hérault,15.7,0.0,4.8,36.0,PEZENAS-TOURBES
ASM Clermont,0,0.5,0.43,0.32,0.58,0.43,6,0,5,1,12,11,1,3,2,12,122,6,31,21,148, 6,Montpellier Hérault Rugby,2023-03-04 15:00:00,2022-2023,Montpellier Hérault Rugby,Visitante,Perdedor,Septeo Stadium,Montpellier,Hérault,15.7,0.0,4.8,36.0,PEZENAS-TOURBES
CA Brive,1,0.5,0.49,0.57,0.5,0.49,9,0,8,1,15,15,3,4,0,7,89,6,20,44,116,7 ,Union Bordeaux-Bègles,2023-03-04 17:15:00,2022-2023,CA Brive,Local,Perdedor,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,12.8,0.0,5.2,41.0,BRIVE
Aviron Bayonnais,3,0.5,0.37,0.46,0.64,0.4,9,0,6,3,9,7,2,3,2,6,120,10,36,21,88, 27,USA Perpignan,2023-03-04 17:15:00,2022-2023,USA Perpignan,Visitante,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,7.1,0.0,2.1,54.0,SERRALONGUE
USA Perpignan,4,0.5,0.63,0.54,0.36,0.6,10,3,4,3,10,7,0,3,2,7,75,8,18,13,153,34 ,Aviron Bayonnais,2023-03-04 17:15:00,2022-2023,USA Perpignan,Local,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,7.1,0.0,2.1,54.0,SERRALONGUE
Union Bordeaux-Bègles,3,0.5,0.51,0.43,0.5,0.51,13,0,12,1,13,7,0,5,3,11,112,9,12,40,106, 28,CA Brive,2023-03-04 17:15:00,2022-2023,CA Brive,Visitante,Ganador,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,12.8,0.0,5.2,41.0,BRIVE
Section Paloise,4,0.5,0.57,0.33,0.44,0.56,7,0,5,2,12,12,0,1,2,11,135,9,27,27,86,32 ,Stade Rochelais,2023-03-04 17:15:00,2022-2023,Section Paloise,Local,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,8.9,0.0,0.8,55.0,GER
LOU Rugby,3,0.5,0.49,0.72,0.51,0.49,3,0,3,0,13,12,0,2,1,11,111,10,23,28,121, 22,Castres Olympique,2023-03-04 17:15:00,2022-2023,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,6.4,0.0,3.4,64.0,MONTREDON-LABESSONNIE
Castres Olympique,2,0.5,0.51,0.28,0.49,0.51,8,1,7,0,13,11,0,2,5,10,114,4,21,34,113,27 ,LOU Rugby,2023-03-04 17:15:00,2022-2023,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,6.4,0.0,3.4,64.0,MONTREDON-LABESSONNIE
Stade Rochelais,3,0.5,0.43,0.67,0.56,0.44,3,0,3,0,11,10,0,4,5,6,79,4,15,31,154, 36,Section Paloise,2023-03-04 17:15:00,2022-2023,Section Paloise,Visitante,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,8.9,0.0,0.8,55.0,GER
RC Toulon,3,0.5,0.56,0.49,0.45,0.56,6,0,4,2,13,9,0,4,3,10,136,19,19,33,91,37 ,Stade Français Paris,2023-03-04 21:05:00,2022-2023,RC Toulon,Local,Ganador,Stade Mayol,Toulon,Var,6.7,0.0,4.4,59.0,LE CASTELLET-AERO
Stade Français Paris,0,0.5,0.44,0.51,0.55,0.44,6,1,5,0,11,9,2,2,3,13,79,4,21,27,113, 9,RC Toulon,2023-03-04 21:05:00,2022-2023,RC Toulon,Visitante,Perdedor,Stade Mayol,Toulon,Var,6.7,0.0,4.4,59.0,LE CASTELLET-AERO
Racing 92,5,0.5,0.49,0.42,0.5,0.49,7,1,5,1,13,10,3,3,2,14,115,12,22,18,111,35 ,Stade Toulousain,2023-03-05 21:05:00,2022-2023,Racing 92,Local,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,5.7,0.0,0.7,70.0,LONGCHAMP (Proxy via Stade Français)
Stade Toulousain,5,0.5,0.51,0.58,0.5,0.51,8,0,5,3,18,14,2,6,2,10,78,5,23,15,109, 39,Racing 92,2023-03-05 21:05:00,2022-2023,Racing 92,Visitante,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,5.7,0.0,0.7,70.0,LONGCHAMP (Proxy via Stade Français)
Castres Olympique,2,0.5,0.34,0.29,0.68,0.37,7,1,6,0,9,8,1,3,5,10,149,10,41,20,100,27 ,Stade Toulousain,2023-03-25 15:00:00,2022-2023,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,14.2,0.0,2.7,53.0,MONTREDON-LABESSONNIE
Stade Toulousain,2,0.5,0.66,0.71,0.32,0.63,11,2,6,3,11,9,0,3,1,11,101,14,15,8,177, 17,Castres Olympique,2023-03-25 15:00:00,2022-2023,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,14.2,0.0,2.7,53.0,MONTREDON-LABESSONNIE
USA Perpignan,3,0.5,0.5,0.56,0.51,0.5,12,2,8,2,11,6,0,3,1,12,122,7,27,27,114,22 ,Montpellier Hérault Rugby,2023-03-25 17:00:00,2022-2023,USA Perpignan,Local,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,13.4,0.0,3.4,69.0,SERRALONGUE
