equipo,puntos_trys_concedidos,posesion_pelota,ocupacion_sobre_terreno_rival,posesion_sobre_terreno_propio,posesion_sobre_terreno_rival,posesion_sobre22m_rival,scrum_obtenidos,scrum_perdidos,scrum_ganados,scrum_reiniciados,lineouts_obtenidos,lineouts_ganados,lineouts_ganados_rival,knock_on,penales_anotados,penales_cometidos,tackles_exitoso,tackle_defensivo_exitoso,tackle_fallido,free_kick,balones_pasados,Resultado,Oponente,fecha,temporada,equipo_sede,condicion,resultado_partido,Maison,Ville,Departement,temperatura,lluvia_1h,viento_velocidad,humedad,estacion_calidad
Montpellier Hérault Rugby,3,0.56,0.48,0.54,0.53,0.48,12,1,10,1,13,12,2,4,2,7,93,8,24,30,113, 27,Racing 92,2025-05-31 16:30:00,2024-2025,Racing 92,Visitante,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,29.8,0.0,2.8,52.0,LONGCHAMP (Proxy via Stade Français)
RC Vannes,4,0.55,0.46,0.53,0.55,0.45,9,1,6,2,16,11,0,6,0,7,130,11,30,32,142,26 ,Section Paloise,2025-05-31 16:30:00,2024-2025,RC Vannes,Local,Perdedor,Stade de la Rabine,Vannes,Morbihan,25.3,0.0,1.6,58.0,PLEUCADEUC
Section Paloise,7,0.45,0.54,0.47,0.45,0.55,6,0,6,0,10,8,4,8,1,12,168,12,12,24,142, 52,RC Vannes,2025-05-31 16:30:00,2024-2025,RC Vannes,Visitante,Ganador,Stade de la Rabine,Vannes,Morbihan,25.3,0.0,1.6,58.0,PLEUCADEUC
Stade Rochelais,5,0.66,0.67,0.78,0.33,0.62,11,2,7,2,16,15,1,2,1,15,64,6,15,18,157,38 ,USA Perpignan,2025-05-31 16:30:00,2024-2025,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,22.2,0.0,4.8,71.0,NUAILLE SUR BOUTONNE
USA Perpignan,0,0.34,0.33,0.22,0.67,0.38,6,0,6,1,15,12,1,3,5,15,168,8,38,16,78, 15,Stade Rochelais,2025-05-31 16:30:00,2024-2025,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,22.2,0.0,4.8,71.0,NUAILLE SUR BOUTONNE
Stade Toulousain,7,0.59,0.54,0.51,0.48,0.52,7,0,7,0,13,10,2,6,0,9,97,2,17,25,217,43 ,LOU Rugby,2025-06-01 17:30:00,2024-2025,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,19.1,0.0,4.4,86.0,MURET-LHERM
LOU Rugby,0,0.41,0.46,0.49,0.52,0.48,9,0,8,1,16,11,1,8,1,12,162,17,26,17,97, 3,Stade Toulousain,2025-06-01 17:30:00,2024-2025,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,19.1,0.0,4.4,86.0,MURET-LHERM
RC Toulon,3,0.58,0.55,0.73,0.45,0.57,12,1,10,1,12,11,1,7,2,8,128,11,22,28,179,27 ,Union Bordeaux-Bègles,2025-06-01 21:05:00,2024-2025,RC Toulon,Local,Ganador,Stade Mayol,Toulon,Var,19.7,0.0,1.4,62.0,LE CASTELLET-AERO
Union Bordeaux-Bègles,1,0.42,0.45,0.27,0.55,0.43,8,2,4,2,13,11,0,11,1,7,135,8,40,20,96, 10,RC Toulon,2025-06-01 21:05:00,2024-2025,RC Toulon,Visitante,Perdedor,Stade Mayol,Toulon,Var,19.7,0.0,1.4,62.0,LE CASTELLET-AERO
Stade Toulousain,5,0.46,0.49,0.4,0.51,0.5,12,1,7,4,11,9,2,7,0,11,140,4,21,16,121, 35,USA Perpignan,2025-06-07 21:05:00,2024-2025,USA Perpignan,Visitante,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,15.6,0.0,0.5,92.0,SERRALONGUE
